Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
01.01.2023 00:00;01.01.2023 00:15;9.720,75;1.890,25;424,75
01.01.2023 00:15;01.01.2023 00:30;9.641,25;1.739,25;443,50
01.01.2023 00:30;01.01.2023 00:45;9.609,50;1.490,00;546,25
01.01.2023 00:45;01.01.2023 01:00;9.565,00;1.646,00;519,00
01.01.2023 01:00;01.01.2023 01:15;9.473,50;1.365,75;222,50
01.01.2023 01:15;01.01.2023 01:30;9.448,00;1.216,50;383,25
01.01.2023 01:30;01.01.2023 01:45;9.550,25;1.346,50;653,25
01.01.2023 01:45;01.01.2023 02:00;9.463,75;1.114,75;766,50
01.01.2023 02:00;01.01.2023 02:15;9.358,50;1.119,25;764,75
01.01.2023 02:15;01.01.2023 02:30;9.306,00;917,00;863,50
01.01.2023 02:30;01.01.2023 02:45;9.250,75;1.051,25;943,50
01.01.2023 02:45;01.01.2023 03:00;9.188,00;906,25;1.065,00
01.01.2023 03:00;01.01.2023 03:15;9.140,50;1.308,00;1.078,25
01.01.2023 03:15;01.01.2023 03:30;9.012,25;1.358,25;1.113,00
01.01.2023 03:30;01.01.2023 03:45;8.989,25;1.455,25;1.106,25
01.01.2023 03:45;01.01.2023 04:00;8.997,50;1.545,25;1.088,00
01.01.2023 04:00;01.01.2023 04:15;8.962,75;1.402,25;1.084,50
01.01.2023 04:15;01.01.2023 04:30;8.911,25;1.414,25;1.097,50
01.01.2023 04:30;01.01.2023 04:45;8.906,00;1.472,50;1.128,25
01.01.2023 04:45;01.01.2023 05:00;8.931,50;1.520,00;1.101,25
01.01.2023 05:00;01.01.2023 05:15;8.970,00;1.291,25;1.240,25
01.01.2023 05:15;01.01.2023 05:30;8.969,00;1.425,50;1.194,75
01.01.2023 05:30;01.01.2023 05:45;8.979,00;1.525,50;1.129,50
01.01.2023 05:45;01.01.2023 06:00;8.936,25;1.475,50;1.145,50
01.01.2023 06:00;01.01.2023 06:15;8.841,25;1.301,00;1.329,00
01.01.2023 06:15;01.01.2023 06:30;8.887,75;1.415,50;1.347,50
01.01.2023 06:30;01.01.2023 06:45;8.828,75;1.367,75;1.321,00
01.01.2023 06:45;01.01.2023 07:00;8.840,00;1.421,00;1.289,25
01.01.2023 07:00;01.01.2023 07:15;9.002,00;1.295,50;1.122,75
01.01.2023 07:15;01.01.2023 07:30;9.054,25;1.409,75;1.045,00
01.01.2023 07:30;01.01.2023 07:45;9.112,00;1.446,00;982,25
01.01.2023 07:45;01.01.2023 08:00;9.168,25;1.581,75;930,50
