Start date;End date;Total (grid load) [MWh] Original resolutions;Residual load [MWh] Original resolutions;Hydro pumped storage [MWh] Original resolutions
Jan 1, 2023 12:00 AM;Jan 1, 2023 12:15 AM;9,720.75;1,890.25;424.75
Jan 1, 2023 12:15 AM;Jan 1, 2023 12:30 AM;9,641.25;1,739.25;443.50
Jan 1, 2023 12:30 AM;Jan 1, 2023 12:45 AM;9,609.50;1,490.00;546.25
Jan 1, 2023 12:45 AM;Jan 1, 2023 1:00 AM;9,565.00;1,646.00;519.00
Jan 1, 2023 1:00 AM;Jan 1, 2023 1:15 AM;9,473.50;1,365.75;222.50
Jan 1, 2023 1:15 AM;Jan 1, 2023 1:30 AM;9,448.00;1,216.50;383.25
Jan 1, 2023 1:30 AM;Jan 1, 2023 1:45 AM;9,550.25;1,346.50;653.25
Jan 1, 2023 1:45 AM;Jan 1, 2023 2:00 AM;9,463.75;1,114.75;766.50
Jan 1, 2023 2:00 AM;Jan 1, 2023 2:15 AM;9,358.50;1,119.25;764.75
Jan 1, 2023 2:15 AM;Jan 1, 2023 2:30 AM;9,306.00;917.00;863.50
Jan 1, 2023 2:30 AM;Jan 1, 2023 2:45 AM;9,250.75;1,051.25;943.50
Jan 1, 2023 2:45 AM;Jan 1, 2023 3:00 AM;9,188.00;906.25;1,065.00
Jan 1, 2023 3:00 AM;Jan 1, 2023 3:15 AM;9,140.50;1,308.00;1,078.25
Jan 1, 2023 3:15 AM;Jan 1, 2023 3:30 AM;9,012.25;1,358.25;1,113.00
Jan 1, 2023 3:30 AM;Jan 1, 2023 3:45 AM;8,989.25;1,455.25;1,106.25
Jan 1, 2023 3:45 AM;Jan 1, 2023 4:00 AM;8,997.50;1,545.25;1,088.00
Jan 1, 2023 4:00 AM;Jan 1, 2023 4:15 AM;8,962.75;1,402.25;1,084.50
Jan 1, 2023 4:15 AM;Jan 1, 2023 4:30 AM;8,911.25;1,414.25;1,097.50
Jan 1, 2023 4:30 AM;Jan 1, 2023 4:45 AM;8,906.00;1,472.50;1,128.25
Jan 1, 2023 4:45 AM;Jan 1, 2023 5:00 AM;8,931.50;1,520.00;1,101.25
Jan 1, 2023 5:00 AM;Jan 1, 2023 5:15 AM;8,970.00;1,291.25;1,240.25
Jan 1, 2023 5:15 AM;Jan 1, 2023 5:30 AM;8,969.00;1,425.50;1,194.75
Jan 1, 2023 5:30 AM;Jan 1, 2023 5:45 AM;8,979.00;1,525.50;1,129.50
Jan 1, 2023 5:45 AM;Jan 1, 2023 6:00 AM;8,936.25;1,475.50;1,145.50
Jan 1, 2023 6:00 AM;Jan 1, 2023 6:15 AM;8,841.25;1,301.00;1,329.00
Jan 1, 2023 6:15 AM;Jan 1, 2023 6:30 AM;8,887.75;1,415.50;1,347.50
Jan 1, 2023 6:30 AM;Jan 1, 2023 6:45 AM;8,828.75;1,367.75;1,321.00
Jan 1, 2023 6:45 AM;Jan 1, 2023 7:00 AM;8,840.00;1,421.00;1,289.25
Jan 1, 2023 7:00 AM;Jan 1, 2023 7:15 AM;9,002.00;1,295.50;1,122.75
Jan 1, 2023 7:15 AM;Jan 1, 2023 7:30 AM;9,054.25;1,409.75;1,045.00
Jan 1, 2023 7:30 AM;Jan 1, 2023 7:45 AM;9,112.00;1,446.00;982.25
Jan 1, 2023 7:45 AM;Jan 1, 2023 8:00 AM;9,168.25;1,581.75;930.50
Jan 1, 2023 8:00 AM;Jan 1, 2023 8:15 AM;9,100.50;1,615.50;895.25
Jan 1, 2023 8:15 AM;Jan 1, 2023 8:30 AM;9,171.50;1,679.25;929.50
Jan 1, 2023 8:30 AM;Jan 1, 2023 8:45 AM;9,303.25;1,809.00;799.75
